field,ref_ws,footprint,centre_freq_mhz,footprint_pitch_deg,footprint_rota_deg,pol_axis_deg,variant,beam,mean_dQ,std_dQ,mean_dU,std_dU,n_obs
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,0,0.10365,0.005869,-0.04515,0.000495,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,1,0.0933,0.008627,-0.0461,0.001131,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,2,0.09345,0.00601,-0.0613,0.000707,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,3,0.09085,0.007849,-0.0616,0.001838,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,4,0.09385,0.009263,-0.29245,0.000354,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,5,0.0833,0.009758,0.0181,0.001273,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,6,0.08255,0.005869,0.3515,0.001556,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,7,0.09535,0.004172,0.16535,0.000354,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,8,0.09535,0.004313,0.3733,0.004243,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,9,0.0952,0.009617,0.0433,0.001414,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,10,0.0933,0.014425,0.08205,0.003182,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,11,0.0945,0.008061,-0.1395,0.005233,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,12,0.10765,0.013081,0.18575,0.001202,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,13,0.09755,0.004738,0.28205,0.001768,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,14,0.10225,0.006576,0.4759,0.003253,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,15,0.1076,0.000566,-0.09095,0.001061,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,16,0.11645,0.000636,0.3766,0.001273,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,17,0.096,0.003253,1.07305,0.001202,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,18,0.09545,0.002051,0.1302,0.00396,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,19,0.1007,0.003818,0.07245,0.001061,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,20,0.09615,0.005869,-0.5973,0.00396,2
REF_0236-28,5815,square_6x6,1272.5,0.9,45.0,-45.0,bpcal,21,0.13975,0.003748,-0.3981,0.000424,2
